No;Provinsi;Tahun;Wilayah;Satuan;Fisik;Psikis;Seksual;Eksploitasi;TPPO;Penelantaran;Lainnya;Jumlah Kasus (Kasus);Jumlah Korban (Orang)
209;Jawa Tengah;2024;KABUPATEN BOYOLALI;Orang;6;7;4;0;0;0;2;15;15
210;Jawa Tengah;2024;KABUPATEN KLATEN;Orang;2;2;3;0;0;0;1;6;6
211;Jawa Tengah;2024;KABUPATEN SUKOHARJO;Orang;46;7;11;0;0;3;3;63;64
212;Jawa Tengah;2024;KABUPATEN WONOGIRI;Orang;1;4;0;0;0;0;0;5;5
213;Jawa Tengah;2024;KABUPATEN KARANGANYAR;Orang;9;3;6;0;0;3;2;20;20
214;Jawa Tengah;2024;KABUPATEN SRAGEN;Orang;4;0;6;0;0;0;1;10;11
215;Jawa Tengah;2024;KABUPATEN GROBOGAN;Orang;1;0;0;0;0;0;1;2;2
216;Jawa Tengah;2024;KABUPATEN BLORA;Orang;3;2;4;1;0;2;0;9;9
217;Jawa Tengah;2024;KABUPATEN REMBANG;Orang;5;2;2;0;0;1;0;7;7
218;Jawa Tengah;2024;KABUPATEN PATI;Orang;6;3;2;0;0;0;0;8;8
219;Jawa Tengah;2024;KABUPATEN KUDUS;Orang;5;0;0;0;0;1;2;8;8
220;Jawa Tengah;2024;KABUPATEN JEPARA;Orang;13;8;3;0;0;2;3;22;22
221;Jawa Tengah;2024;KABUPATEN DEMAK;Orang;22;3;5;0;0;0;0;26;27
222;Jawa Tengah;2024;KABUPATEN SEMARANG;Orang;66;17;5;1;0;0;0;82;82
223;Jawa Tengah;2024;KABUPATEN TEMANGGUNG;Orang;4;7;1;1;0;1;0;9;9
224;Jawa Tengah;2024;KABUPATEN KENDAL;Orang;14;3;2;0;0;2;1;17;18
225;Jawa Tengah;2024;KABUPATEN BATANG;Orang;6;1;1;0;0;1;1;8;8
226;Jawa Tengah;2024;KABUPATEN PEKALONGAN;Orang;14;30;4;0;1;1;1;35;35
227;Jawa Tengah;2024;KABUPATEN PEMALANG;Orang;10;4;6;0;0;2;0;21;21
228;Jawa Tengah;2024;KABUPATEN TEGAL;Orang;11;8;5;0;0;2;3;21;21
229;Jawa Tengah;2024;KABUPATEN BREBES;Orang;15;11;12;0;0;0;3;33;34
230;Jawa Tengah;2024;KOTA MAGELANG;Orang;9;24;2;0;0;11;0;24;24
231;Jawa Tengah;2024;KOTA SURAKARTA;Orang;15;18;7;0;0;6;0;25;25
232;Jawa Tengah;2024;KOTA SALATIGA;Orang;10;4;10;2;0;2;1;27;27
233;Jawa Tengah;2024;KOTA SEMARANG;Orang;113;46;25;0;1;19;0;175;176
234;Jawa Tengah;2024;KOTA PEKALONGAN;Orang;8;8;3;0;0;3;5;18;18
235;Jawa Tengah;2024;KOTA TEGAL;Orang;7;16;9;0;0;0;3;24;25
236;Jawa Barat;2024;KABUPATEN BOGOR;Orang;20;19;9;0;0;0;0;30;30
237;Jawa Barat;2024;KABUPATEN SUKABUMI;Orang;29;11;19;0;15;1;9;67;71
238;Jawa Barat;2024;KABUPATEN CIANJUR;Orang;16;13;9;1;1;3;5;38;38
239;Jawa Barat;2024;KABUPATEN BANDUNG;Orang;17;13;17;1;1;1;2;43;43
240;Jawa Barat;2024;KABUPATEN GARUT;Orang;8;6;14;1;0;2;10;34;35
241;Jawa Barat;2024;KABUPATEN TASIKMALAYA;Orang;3;1;4;0;0;1;1;8;8
242;Jawa Barat;2024;KABUPATEN CIAMIS;Orang;3;3;5;0;0;0;0;7;7
243;Jawa Barat;2024;KABUPATEN KUNINGAN;Orang;5;7;7;0;0;3;4;25;26
244;Jawa Barat;2024;KABUPATEN CIREBON;Orang;17;25;13;7;1;3;0;31;33
245;Jawa Barat;2024;KABUPATEN MAJALENGKA;Orang;6;0;2;0;0;1;0;7;7
246;Jawa Barat;2024;KABUPATEN SUMEDANG;Orang;3;7;4;0;0;0;2;16;16
247;Jawa Barat;2024;KABUPATEN INDRAMAYU;Orang;15;8;9;2;0;2;1;34;35
248;Jawa Barat;2024;KABUPATEN SUBANG;Orang;12;9;13;0;2;3;1;33;33
249;Jawa Barat;2024;KABUPATEN PURWAKARTA;Orang;8;39;10;0;0;0;1;55;56
250;Jawa Barat;2024;KABUPATEN KARAWANG;Orang;14;6;5;1;0;1;7;31;31
251;Jawa Barat;2024;KABUPATEN BEKASI;Orang;24;31;35;1;3;7;71;124;129
252;Jawa Barat;2024;KABUPATEN BANDUNG BARAT;Orang;17;13;4;0;1;4;15;32;33
253;Jawa Barat;2024;KABUPATEN PANGANDARAN;Orang;4;0;3;0;0;0;1;8;8
254;Jawa Barat;2024;KOTA BOGOR;Orang;15;24;8;0;0;5;11;55;55
255;Jawa Barat;2024;KOTA SUKABUMI;Orang;10;26;3;0;0;0;26;59;59
256;Jawa Barat;2024;KOTA BANDUNG;Orang;63;130;37;1;0;39;15;163;164
257;Jawa Barat;2024;KOTA CIREBON;Orang;1;1;0;0;0;0;0;2;2
258;Jawa Barat;2024;KOTA BEKASI;Orang;38;34;29;0;0;16;6;123;123
259;Jawa Barat;2024;KOTA DEPOK;Orang;53;32;17;0;0;4;6;110;110
260;Jawa Barat;2024;KOTA CIMAHI;Orang;19;16;7;3;0;12;0;29;31
261;Jawa Barat;2024;KOTA TASIKMALAYA;Orang;14;1;3;0;0;1;0;18;18
262;Jawa Barat;2024;KOTA BANJAR;Orang;4;0;2;0;0;1;0;7;7
263;Jawa Timur;2024;KABUPATEN PACITAN;Orang;0;0;0;0;0;0;0;0;0
264;Jawa Timur;2024;KABUPATEN PONOROGO;Orang;4;2;2;0;0;5;3;16;16
265;Jawa Timur;2024;KABUPATEN TRENGGALEK;Orang;2;10;3;2;0;7;4;17;17
266;Jawa Timur;2024;KABUPATEN TULUNGAGUNG;Orang;6;4;1;0;0;2;1;14;14
267;Jawa Timur;2024;KABUPATEN BLITAR;Orang;8;16;8;2;44;1;3;38;69
268;Jawa Timur;2024;KABUPATEN KEDIRI;Orang;9;2;7;0;0;0;2;17;17
269;Jawa Timur;2024;KABUPATEN MALANG;Orang;20;16;18;2;1;10;3;48;49
270;Jawa Timur;2024;KABUPATEN LUMAJANG;Orang;0;0;0;0;0;0;0;0;0
271;Jawa Timur;2024;KABUPATEN JEMBER;Orang;13;85;52;1;1;11;2;87;87
272;Jawa Timur;2024;KABUPATEN BANYUWANGI;Orang;21;2;11;0;0;0;2;35;35
273;Jawa Timur;2024;KABUPATEN BONDOWOSO;Orang;5;1;2;0;0;3;1;9;9
274;Jawa Timur;2024;KABUPATEN SITUBONDO;Orang;22;19;4;1;3;5;1;36;37
275;Jawa Timur;2024;KABUPATEN PROBOLINGGO;Orang;2;3;2;0;0;0;0;5;5
276;Jawa Timur;2024;KABUPATEN PASURUAN;Orang;12;6;6;0;1;1;2;22;24
